track_id,title,artist_name,album_name,genre,duration_ms,popularity,danceability,energy,valence,tempo,acousticness,instrumentalness,liveness,speechiness,loudness,mode,key,time_signature,mood_bucket,main_genre,danceability_label,energy_label,mood_label,tempo_label,acoustic_label,loudness_label,mode_label
6gTMBuupuvkgAgQibruGUj,Joy,Andy Grammer,Frühstücksmusik Herbst/Winter 2022/2023,rock,193621,0,0.675,0.793,0.233,111.907,0.108,0.0,0.103,0.157,-6.0,1,2,4,focus,rock,medium,energetic,sad,medium,electronic,loud,major (bright)
6njmP9TqyeVi3DUioVULY2,Fly Away,Lenny Kravitz,90's Music Grandi Successi,rock,221893,0,0.597,0.868,0.709,160.021,0.0212,0.0,0.664,0.0526,-5.095,1,7,4,happy,rock,medium,energetic,happy,fast,electronic,loud,major (bright)
0OlgQYka86XhPepKdZ6xio,Hanginaround,Counting Crows,Fiesta temática 90s,rock,252720,0,0.514,0.781,0.717,90.522,0.248,0.0,0.731,0.0639,-6.703,1,0,4,happy,rock,medium,energetic,happy,medium,electronic,normal,major (bright)
3Tcp4rL3dml7pck2RnWsPf,Love Under Pressure,James Blunt,20's Rock,rock,165033,0,0.613,0.754,0.703,110.017,0.00612,0.0,0.129,0.0348,-6.051,0,5,4,happy,rock,medium,energetic,happy,medium,electronic,normal,minor (moody)
0nNIpB8Rq3HTTE1ULbtFKs,Everywhere - 2018 Remaster,Fleetwood Mac,80's,rock,223253,0,0.74,0.465,0.682,114.957,0.253,0.0107,0.0927,0.0325,-10.85,1,4,4,focus,rock,high,medium,happy,medium,electronic,normal,major (bright)
58W0qvadgkqy1AqYEYl9m7,Landslide - 2018 Remaster,Fleetwood Mac,u don't deserve me,rock,200413,0,0.428,0.292,0.508,159.757,0.859,0.00105,0.191,0.0307,-15.157,0,7,4,chill,rock,medium,calm,neutral,fast,acoustic,quiet,minor (moody)
7pBZjE2CwQEASbtd6gnDQv,The Hype,Twenty One Pilots,20's Rock,rock,265373,0,0.53,0.816,0.371,87.019,0.0105,0.000613,0.379,0.0503,-6.149,1,9,4,focus,rock,medium,energetic,neutral,slow,electronic,normal,major (bright)
5rDrZXgrZ6iKxE6jDO2mFD,House of Gold,Twenty One Pilots,Happy Commute,rock,163880,0,0.68,0.694,0.851,114.945,0.445,0.0,0.209,0.0435,-7.234,1,0,4,happy,rock,medium,medium,happy,medium,mixed,normal,major (bright)
3aesSacVekAY2cwcNgCMyP,Leave the City,Twenty One Pilots,Mellow Electronic Pop,rock,280493,0,0.506,0.378,0.297,134.99,0.726,0.00514,0.0956,0.0332,-11.641,0,4,4,sad,rock,medium,calm,sad,fast,acoustic,normal,minor (moody)
1gu8VJ0d28EsXtcgKzJcSl,Don't Shoot Me Santa,"The Killers, Ryan Pardey",Christmas Rock 2022,rock,245106,0,0.588,0.847,0.662,120.041,0.0601,0.0,0.307,0.0705,-4.164,1,8,4,happy,rock,medium,energetic,happy,fast,electronic,loud,major (bright)
5qn8lrBA1qlgfzPEVDiDRg,Sympathy For The Devil - 50th Anniversary Edition / Remastered 2018,The Rolling Stones,Halloween Party 2022,rock,378146,0,0.703,0.668,0.561,116.039,0.516,0.0,0.0588,0.22,-9.237,1,9,4,focus,rock,high,medium,neutral,medium,mixed,normal,major (bright)
7GEQkaJPZmph6xtzXFNWxn,Joy Ride - Night Version,The Killers,Alternative Christmas 2022,rock,436413,0,0.666,0.935,0.69,118.999,0.00285,0.781,0.352,0.0445,-4.563,1,0,4,happy,rock,medium,energetic,happy,medium,electronic,loud,major (bright)
3omnDqXnlC4awZfUrGQSDN,A Great Big Sled,"The Killers, Toni Halliday",Alternative Christmas 2022,rock,262586,0,0.532,0.872,0.299,127.959,0.00223,0.0,0.283,0.0636,-3.869,1,0,4,hype,rock,medium,energetic,sad,fast,electronic,loud,major (bright)
09DBu6VDEuHlHii5zeDLEY,Merry Xmas Everybody - For Nest Audio Sessions,Bastille,Emo Christmas 2022,rock,193826,0,0.56,0.394,0.382,122.878,0.365,0.0,0.213,0.0307,-9.129,1,2,4,sad,rock,medium,calm,neutral,fast,mixed,normal,major (bright)
3GyfNumvRBeKNcRAdClLdD,Shut Off The Lights,Bastille,Arbeitsmusik Herbst/Winter 2022/2023,rock,187363,0,0.624,0.908,0.659,105.048,0.408,0.0,0.139,0.0992,-3.215,1,10,4,happy,rock,medium,energetic,neutral,medium,mixed,loud,major (bright)
3egSwvRPqL8BaaGkUaxqOc,Bad Blood,Bastille,Halloween 2022,rock,212240,0,0.664,0.794,0.933,143.013,0.0132,0.0137,0.12,0.038,-5.503,0,5,4,happy,rock,medium,energetic,happy,fast,electronic,loud,minor (moody)
7kStyQM8nYnWTshbOzZGp2,Snakes,Bastille,Helloween Party,rock,197957,0,0.635,0.812,0.486,137.976,0.0576,0.0,0.135,0.0362,-4.724,1,8,4,hype,rock,medium,energetic,neutral,fast,electronic,loud,major (bright)
5Exj7yGctXExjvg2FrVZh3,Revolution,Bastille,Frühstücksmusik Herbst/Winter 2022/2023,rock,183406,0,0.629,0.755,0.78,110.016,0.0799,0.0,0.141,0.206,-4.703,0,5,4,happy,rock,medium,energetic,happy,medium,electronic,loud,minor (moody)
7GIe4NWkPMwWuAQBJACzTn,I Won't,AJR,Arbeitsmusik Herbst/Winter 2022/2023,rock,168552,0,0.423,0.721,0.382,161.926,0.00792,0.0,0.38,0.165,-8.07,1,0,4,focus,rock,medium,energetic,neutral,fast,electronic,normal,major (bright)
0llVmVvhhn5vS5OdiYhq8C,Too Much Blood - Remastered,The Rolling Stones,Halloween Scary Party,rock,374240,0,0.592,0.909,0.479,116.433,0.0149,0.177,0.0571,0.051,-5.887,0,6,4,focus,rock,medium,energetic,neutral,medium,electronic,loud,minor (moody)
48q2h0nYiAOfomJHGzHQJy,Living In A Ghost Town - Alok Remix,"The Rolling Stones, Alok",Halloween Party 2022,rock,208980,0,0.707,0.745,0.515,125.018,0.0226,0.264,0.102,0.0321,-7.291,1,7,4,focus,rock,high,energetic,neutral,fast,electronic,normal,major (bright)
